000020ac,3
00002d40,2
00007903,6
00012697,4
0006259c,7
00090bdd,0
000a3c4d,5
000a6a68,9
000b46d6,9
000d9a97,4
0010a828,6
0012ca67,2
0012edc8,6
00146075,6
001518ed,5
0015aac8,0
00179996,8
0018703d,2
001a111b,4
001ade62,1
001cb1d9,5
001dcfcc,8
001f9f58,5
001fd0f7,3
00224a98,3
0022f8c8,4
0023bbc0,3
0023e719,3
0023f7fe,9
0024597f,9
002664f1,3
00267506,6
0028a913,4
002a8dff,5
002b269a,5
002b9368,5
002bdfd0,3
002c0588,8
002c808f,5
002d7ef8,8
002df216,4
002dfc96,8
0030c286,4
00316648,2
00318263,7
00320023,3
003347b0,9
00357b49,1
003849c4,2
0038ec14,2
003adead,8
003c3962,4
003d5a12,6
003deb09,3
003e9164,2
003ea6b5,9
003eae3c,4
0040d874,3
0043454d,5
0043dccb,4
00448f5f,7
004696d4,3
0047cb1c,7
0048fe27,3
004aa934,7
004c3f84,8
004c4ddf,7
004d7322,3
004d8314,2
004e78bf,9
00509f3c,0
00525918,4
0054250e,0
00545fd1,0
0056c3a7,3
00573f98,3
0057e2e9,8
005b63ab,7
005c8f71,7
005cc0a5,8
005ee654,1
0061ed86,8
00638de8,3
00664e46,5
006774e8,1
00679615,4
0067d2e4,0
0067ed4e,1
00684e48,7
0068b791,0
0068fca9,6
0069a70c,6
0069c2c8,9
006ad17a,9
006b8ca5,1
006c006b,7
006fcf2b,9
00709646,4
0070fcc4,9
00713e49,7
00718f5c,6
0073759f,5
00748d30,2
0074cb56,4
00754629,2
007929ca,2
007abb82,6
007bbc52,1
007c5e19,1
007f09e1,4
00808e7e,1
00818516,9
00854593,9
0086d4b7,4
0086de2f,4
00897c45,2
008ba914,9
008dbc2e,2
008de4ae,1
008e9149,9
008efce6,5
008f9ca7,1
0090eb86,6
0091bef1,6
009221da,6
0092288c,8
009328ca,8
00940dd2,4
00958bec,9
0095cebd,8
0097774e,5
00983f31,8
009889c9,1
00999581,2
009a4ea9,2
009c9c36,1
009eb9da,9
009f235e,6
009fd06b,6
00a2bbfb,4
00a3109e,7
00a37a59,4
00a53484,4
00a57e5c,8
00a66e40,3
00a7b3f5,7
00a87a1c,1
00a8bf2d,5
00a987cd,2
00a9f547,7
00aa99ac,0
00aba723,6
00abc451,1
00ac4184,7
00ad15c4,1
00ad745b,3
00ad7f95,0
00af4cec,7
00b09a41,6
00b18a47,3
00b2e189,4
00b2fa3e,4
00b32499,9
00b3bf0f,4
00b4b9ff,6
00ba5109,2
00bb2b82,1
00bbd930,6
00bbed52,1
00bc6efb,5
00bd03ab,5
00bd2bbc,4
00bd7c2b,2
00bdd88a,7
00bf859e,9
00bf9fdf,0
00c023df,0
00c08a85,9
00c0ec2f,6
00c11e59,2
00c1399b,6
00c1e546,7
00c29ce6,6
